"","node_id","address...2","name","countries","country_codes","sourceID","origin_match","lon","lat","type","loctype","address...12","north","south","east","west"
"1",14000144,"3 300MS 75ME DE LA ENTRADA PRINCIPAL DE BELLO HORIZONTE ESCAZU SAN JOSE COSTA RICA",NA,"Costa Rica","CRI","Panama Papers","1_node_start",-84.1263623,9.9189595,"neighborhood","approximate","san josé, escazú, bello horizonte, costa rica",9.9226524,9.9133264,-84.1213299,-84.130827
"2",14006777,"19 CALLE 14 60 ZONA 10 GUATEMALA GUATEMALA",NA,"Guatemala","GTM","Panama Papers","1_node_start",-90.5057273,14.5891433,"subpremise","rooftop","60, 19 calle 14-60, cdad. de guatemala 01010, guatemala",14.5904829302915,14.5877849697085,-90.5043824697085,-90.5070804302915
"3",14007025,"1 AVENTURA EXECUTIVE CENTER SUITE 514 AVENTURA FLORIDA 33180 UNITED STATES",NA,"United States","USA","Panama Papers","1_node_start",-80.1528987,25.932045,"establishment","geometric_center","north miami beach, fl 33160, usa",25.9333577802915,25.9306598197085,-80.1514090197085,-80.1541069802915
"4",14007103,"1 CHEMIN ROMAIN 06320 CAP D AIL FRANCE",NA,"France","FRA","Panama Papers","1_node_start",7.3990763,43.72685,"premise","rooftop","1 chem. romain, 06320 cap-d'ail, france",43.7281483302915,43.7254503697085,7.4004129302915,7.3977149697085
"5",14007433,"1 RUE DU PRÉ DE LA BICHETTE 1202 GENEVA SWITZERLAND",NA,"Switzerland","CHE","Panama Papers","1_node_start",6.1353318,46.2206448,"street_address","rooftop","rue du pré-de-la-bichette 1, 1202 genève, switzerland",46.2220867302915,46.2193887697085,6.1368089302915,6.1341109697085
"6",14000851,"1055/221 STATE TOWER 20TH FLOOR SILOM ROAD SILOM BANGRAK BANGKOK 10500 THAILAND",NA,"Thailand","THA","Panama Papers","1_node_start",100.5168931,13.7214837,"establishment","rooftop","1055 si lom, khwaeng silom, khet bang rak, krung thep maha nakhon 10500, thailand",13.7232324302915,13.7205344697085,100.518339880292,100.515641919709
"7",14000892,"106 140 CASA 32 CONJ RES LA CASTELLANA BARRANQUILLA COLOMBIA",NA,"Colombia","COL","Panama Papers","1_node_start",-74.8069813,11.0041072,"locality","approximate","barranquilla, atlantico, colombia",11.0463319,10.921292,-74.7585391,-74.877496
"8",14000984,"10911 NW3 PLANTATION FL USA UNITED STATES",NA,"United States","USA","Panama Papers","1_node_start",-80.2331036,26.1275862,"locality","approximate","plantation, fl, usa",26.160857,26.0924999,-80.197469,-80.3303139
"9",14001155,"10F 11 FORTUNE CENTER 51 NANHAI AVENUE GIU CHENG FO SHAN CHINA",NA,"China","CHN","Panama Papers","1_node_start",113.1975,23.0357,"political","approximate","guicheng subdistrict, foshan, nanhai district, foshan, guangdong province, china, 528251",23.0370489802915,23.0343510197085,113.198848980292,113.196151019708
"10",14001490,"11050 N KENDALL DR 106 MIAMI FLORIDA 33176 UNITED STATES",NA,"United States","USA","Panama Papers","1_node_start",-80.3751297,25.6857272,"subpremise","rooftop","11050 n kendall dr #106, miami, fl 33176, usa",25.6870074302915,25.6843094697085,-80.3737901197085,-80.3764880802915
